"Name"	"URN"	"folioURN"	"ROI"	"LabelText"
"Joseph Lord's specimen labels: 268-67. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_67"	"urn:cite:botcar:LordFolios.HS268_067"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_067_2303@0.0831,0.884,0.3704,0.0782"	"This I take to be Thalictrum or Bastard Rhubarb. It grows generally in a fertile low land. Gathered May 3, 1704."
"Joseph Lord's specimen labels: 268-69a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_69a"	"urn:cite:botcar:LordFolios.HS268_069"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_069_2305@0.1201,0.3294,0.3133,0.0444"	"Prunella. It grows with us in moist woods. Gathered, about May 19, 1704."
"Joseph Lord's specimen labels: 268-69b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_69b"	"urn:cite:botcar:LordFolios.HS268_069"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_069_2305@0.4585,0.7124,0.2943,0.0689"	"This Plant grows plentifully near to my House, in a good soil; not over dry, nor yet wet. Gathered about the beginning of May 1704."
"Joseph Lord's specimen labels: 268-71. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_71"	"urn:cite:botcar:LordFolios.HS268_071"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_071_2307@0.3063,0.7144,0.3323,0.1537"	"This is what we call Wild Hyssop, but smells much like Calamint, which it resembles both[?] in flowers &amp; seed.  I send it now, Sept. 29, to shew it is not yet [???]"
"Joseph Lord's specimen labels: 268-73. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_73"	"urn:cite:botcar:LordFolios.HS268_073"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_073_2308@0.2513,0.7323,0.3163,0.0934"	"This is commonly called wild Hysop. I know not whether it is ??? Hysop or no. It has somewhat of the smell of Hysop. Grows commonly in low moist grassy ground. Gathered, Jun 13, 1704."
"Joseph Lord's specimen labels: 268-75. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_75"	"urn:cite:botcar:LordFolios.HS268_075"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_075_2309@0.2943,0.772,0.3724,0.057"	"I am ready to conceive this to be a Bugle. It grows in good soils near to moist places, or in moist ground most usually. Gathered June 3 1704. There is another plant that has just the same flowers which is now (Jun. 15) generally gone to seed, &amp; differs only in that it has a short, rough leaf."
"Joseph Lord's specimen labels: 268-77. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_77"	"urn:cite:botcar:LordFolios.HS268_077"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_077_2310@0.3904,0.6985,0.3183,0.0941"	"This climbing plant I found by the highway side, among an Heap of dry brush, near to a brookside, about 2 miles from my house, about the beginning of May (I think the 5th), 1704."
"Joseph Lord's specimen labels: 284-40. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_40"	"urn:cite:botcar:LordFolios.HS284_040"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_040_2313@0.4054,0.6388,0.3524,0.0769"	"This grows in low but dry land. It's leaves have a white milky juice in them. Gathered Sept. 12, 1704. The flower is a deeper blew, but of the same shape with that gathered Sept. 9."
"Joseph Lord's specimen labels: 284-42. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_42"	"urn:cite:botcar:LordFolios.HS284_042"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_042_2315@0.2472,0.6514,0.4695,0.1398"	"A plant, whose flower &amp; height much resembled this, I think I sent you in the last Box; but differing from this, in that it had more leaves &amp; flowers upon the stalk; the flowers were of a deeper color, &amp; the leaves of the flowers less pointed than those of this. Also that had branches full of leaves, which spread on the ground at the bottom of that stalk on which the flowers grew, which leaves of the branches stood by fours so as to make a cross at each joint; none of which is in this. The Stalk also of this is finer &amp; weaker than that. This grows in many places where that did; but chiefly seems to delight in ground that is somewhat moist, &amp; grows only among Grass &amp; weeds. Gathered July 14, 1704."
"Joseph Lord's specimen labels: 284-43. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_43"	"urn:cite:botcar:LordFolios.HS284_043"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_043_2316@0.4805,0.8522,0.2903,0.0683"	"This bears a blew flower or two, in one of those umbles which you see at the joints, which in shape somewhat resembles those of the bindweed. Gathered Sept. 7, 1704, in a piece of ground somewhat moist &amp; fat, near a brook."
"Joseph Lord's specimen labels: 284-45. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_45"	"urn:cite:botcar:LordFolios.HS284_045"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_045_2317@0.2482,0.78,0.3704,0.1836"	"This I gathered about a week ago, in a low ground, in which sort of ground it usually grows. June 15, 1704. It differs in stature according to the ground it grows in. The flower is of a pale purple color."
"Joseph Lord's specimen labels: 284-47. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_47"	"urn:cite:botcar:LordFolios.HS284_047"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_047_2318@0.4344,0.7362,0.3684,0.0908"	"This seems a sort of Madder, or Woodroof, or such like herb, grows commonly in Plantations. Gathered about the middle of October, 1704."
"Joseph Lord's specimen labels: 284-49. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_49"	"urn:cite:botcar:LordFolios.HS284_049"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_049_2319@0.0931,0.7475,0.3183,0.1518"	"This plant grows in moist, watery places that are also grassy. Gathered Sept. 23, 1704. It's flower is red inclining to purple."
"Joseph Lord's specimen labels: 284-51. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_51"	"urn:cite:botcar:LordFolios.HS284_051"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_051_2320@0.2202,0.7866,0.4054,0.1392"	"This plant grows plentifully in some high land. It is of a pleasant smell, somewhat like Calamint. It has been in flower about a month, Sept. 26, 1704. It's flower consists of four lovely blew leaves standing up, &amp; one hanging down, which is near as long again as the rest &amp; flew at the outer end, but nearer to the flower of a greenish white speckled with purple. It has also two long blew chives stand up, as it were to avoid nearness to said hanging long leaf, but bending inward at the top."
"Joseph Lord's specimen labels: 284-53a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_53a"	"urn:cite:botcar:LordFolios.HS284_053"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_053_2322@0.1361,0.6905,0.3153,0.1975"	"This is our ordinary scabious. It is now ready to die away, having generally produced it's seed, Jun 15. It grows in our Plantations plentifully."
"Joseph Lord's specimen labels: 284-53b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.284_53b"	"urn:cite:botcar:LordFolios.HS284_053"	"urn:cite:fufolioimg:BotCarLord.Lord_HS284_053_2322@0.4124,0.5586,0.4525,0.2392"	"This plant grows in abundance in our Plantations about April or May, if they be not plowed before; It's flower is blew. At the bottom, &amp; before the stalk whereon the flower grows runs up, it spreads upon the Ground, having, as you may see, 4 small leaves, like thyme, standing about a branch after the manner of cross-wort. This is the plant which I mention that I thought I had sent before."
