Siglum,Sequence,folioURN,RV,MS,CodexURN
CatesbyNH1,14,urn:cite:botcar:CatesbyNH1.p008verso,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,15,urn:cite:botcar:CatesbyNH1.t001,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,16,urn:cite:botcar:CatesbyNH1.001,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,17,urn:cite:botcar:CatesbyNH1.002,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,18,urn:cite:botcar:CatesbyNH1.t002,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,19,urn:cite:botcar:CatesbyNH1.t003,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,20,urn:cite:botcar:CatesbyNH1.003,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,21,urn:cite:botcar:CatesbyNH1.004,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,22,urn:cite:botcar:CatesbyNH1.t004,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,23,urn:cite:botcar:CatesbyNH1.t005,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,24,urn:cite:botcar:CatesbyNH1.005,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,25,urn:cite:botcar:CatesbyNH1.006,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,26,urn:cite:botcar:CatesbyNH1.t006,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,27,urn:cite:botcar:CatesbyNH1.t007,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,28,urn:cite:botcar:CatesbyNH1.007,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,29,urn:cite:botcar:CatesbyNH1.008,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,30,urn:cite:botcar:CatesbyNH1.t008,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,31,urn:cite:botcar:CatesbyNH1.t009,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,32,urn:cite:botcar:CatesbyNH1.009,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,33,urn:cite:botcar:CatesbyNH1.010,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,34,urn:cite:botcar:CatesbyNH1.t010,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,35,urn:cite:botcar:CatesbyNH1.t011,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,36,urn:cite:botcar:CatesbyNH1.011,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,37,urn:cite:botcar:CatesbyNH1.012,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,38,urn:cite:botcar:CatesbyNH1.t012,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,39,urn:cite:botcar:CatesbyNH1.t013,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,40,urn:cite:botcar:CatesbyNH1.013,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,41,urn:cite:botcar:CatesbyNH1.014,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,42,urn:cite:botcar:CatesbyNH1.t014,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,43,urn:cite:botcar:CatesbyNH1.t015,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,44,urn:cite:botcar:CatesbyNH1.015,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,45,urn:cite:botcar:CatesbyNH1.016,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,46,urn:cite:botcar:CatesbyNH1.t016,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,47,urn:cite:botcar:CatesbyNH1.t017,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,48,urn:cite:botcar:CatesbyNH1.017,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,49,urn:cite:botcar:CatesbyNH1.018,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,50,urn:cite:botcar:CatesbyNH1.t018,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,51,urn:cite:botcar:CatesbyNH1.t019,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,52,urn:cite:botcar:CatesbyNH1.019,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,53,urn:cite:botcar:CatesbyNH1.020,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,54,urn:cite:botcar:CatesbyNH1.t020,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,55,urn:cite:botcar:CatesbyNH1.t021,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,56,urn:cite:botcar:CatesbyNH1.021,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,57,urn:cite:botcar:CatesbyNH1.022,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,58,urn:cite:botcar:CatesbyNH1.t022,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,59,urn:cite:botcar:CatesbyNH1.t023,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,60,urn:cite:botcar:CatesbyNH1.023,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,61,urn:cite:botcar:CatesbyNH1.024,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,62,urn:cite:botcar:CatesbyNH1.t024,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,63,urn:cite:botcar:CatesbyNH1.t025,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,64,urn:cite:botcar:CatesbyNH1.025,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,65,urn:cite:botcar:CatesbyNH1.026,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,66,urn:cite:botcar:CatesbyNH1.t026,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,67,urn:cite:botcar:CatesbyNH1.t027,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,68,urn:cite:botcar:CatesbyNH1.027,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,69,urn:cite:botcar:CatesbyNH1.028,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,70,urn:cite:botcar:CatesbyNH1.t028,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,71,urn:cite:botcar:CatesbyNH1.t029,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,72,urn:cite:botcar:CatesbyNH1.029,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,73,urn:cite:botcar:CatesbyNH1.030,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,74,urn:cite:botcar:CatesbyNH1.t030,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,75,urn:cite:botcar:CatesbyNH1.t031,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,76,urn:cite:botcar:CatesbyNH1.031,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,77,urn:cite:botcar:CatesbyNH1.032,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,78,urn:cite:botcar:CatesbyNH1.t032,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,79,urn:cite:botcar:CatesbyNH1.t033,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,80,urn:cite:botcar:CatesbyNH1.033,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,81,urn:cite:botcar:CatesbyNH1.034,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,82,urn:cite:botcar:CatesbyNH1.t034,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,83,urn:cite:botcar:CatesbyNH1.t035,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,84,urn:cite:botcar:CatesbyNH1.035,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,85,urn:cite:botcar:CatesbyNH1.036,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,86,urn:cite:botcar:CatesbyNH1.t036,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,87,urn:cite:botcar:CatesbyNH1.t037,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,88,urn:cite:botcar:CatesbyNH1.037,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,89,urn:cite:botcar:CatesbyNH1.038,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,90,urn:cite:botcar:CatesbyNH1.t038,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,91,urn:cite:botcar:CatesbyNH1.t039,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,92,urn:cite:botcar:CatesbyNH1.039,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,93,urn:cite:botcar:CatesbyNH1.040,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,94,urn:cite:botcar:CatesbyNH1.t040,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,95,urn:cite:botcar:CatesbyNH1.t041,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,96,urn:cite:botcar:CatesbyNH1.041,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,97,urn:cite:botcar:CatesbyNH1.042,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,98,urn:cite:botcar:CatesbyNH1.t042,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,99,urn:cite:botcar:CatesbyNH1.t043,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,100,urn:cite:botcar:CatesbyNH1.043,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,101,urn:cite:botcar:CatesbyNH1.044,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,102,urn:cite:botcar:CatesbyNH1.t044,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,103,urn:cite:botcar:CatesbyNH1.t045,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,104,urn:cite:botcar:CatesbyNH1.045,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,105,urn:cite:botcar:CatesbyNH1.046,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,106,urn:cite:botcar:CatesbyNH1.t046,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,107,urn:cite:botcar:CatesbyNH1.t047,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,108,urn:cite:botcar:CatesbyNH1.047,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,109,urn:cite:botcar:CatesbyNH1.048,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,110,urn:cite:botcar:CatesbyNH1.t048,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,111,urn:cite:botcar:CatesbyNH1.t049,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,112,urn:cite:botcar:CatesbyNH1.049,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,113,urn:cite:botcar:CatesbyNH1.050,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,114,urn:cite:botcar:CatesbyNH1.t050,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,115,urn:cite:botcar:CatesbyNH1.t051,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,116,urn:cite:botcar:CatesbyNH1.051,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,117,urn:cite:botcar:CatesbyNH1.052,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,118,urn:cite:botcar:CatesbyNH1.t052,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,119,urn:cite:botcar:CatesbyNH1.t053,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,120,urn:cite:botcar:CatesbyNH1.053,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,121,urn:cite:botcar:CatesbyNH1.054,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,122,urn:cite:botcar:CatesbyNH1.t054,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,123,urn:cite:botcar:CatesbyNH1.t055,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,124,urn:cite:botcar:CatesbyNH1.055,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,125,urn:cite:botcar:CatesbyNH1.056,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,126,urn:cite:botcar:CatesbyNH1.t056,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,127,urn:cite:botcar:CatesbyNH1.t057,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
