URN,folioURN,imgURN,specimenURN,text,Contributer,Date
urn:cite:botcar:catesbyLabels.penLabel418.1,urn:cite:fufolio:CatesbyHS212.042,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_042_0455,urn:cite:botcar:sloane.418,2 Xyris indica Linn.; Xyris ambigua Beyr. det. Davis? 1967,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel256.1,urn:cite:fufolio:CatesbyHS212.037,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_037_0478,urn:cite:botcar:sloane.256,2. Amsonia alternifolia Mscr.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel309.1,urn:cite:fufolio:CatesbyHS212.066,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_066_0440,urn:cite:botcar:sloane.309,2. Andromeda arborea Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel69.1,urn:cite:fufolio:CatesbyHS212.015,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_015_0496,urn:cite:botcar:sloane.69,2. Andromeda axillaris Inscr. 93,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel351.1,urn:cite:fufolio:CatesbyHS212.053,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_053_0458,urn:cite:botcar:sloane.351,2. Aniba ovata Mscr. 197 n. gen.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel331.1,urn:cite:fufolio:CatesbyHS212.030,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_030_0486,urn:cite:botcar:sloane.331,2. Asclepias hirta Mser,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel265.1,urn:cite:fufolio:CatesbyHS212.035,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_035_0480,urn:cite:botcar:sloane.265,2. Ceanothus americanus Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel356.1,urn:cite:fufolio:CatesbyHS212.020,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_020_0490,urn:cite:botcar:sloane.356,2. Coreopsis lanceolata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel407.1,urn:cite:fufolio:CatesbyHS212.023,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_023_0489,urn:cite:botcar:sloane.407,2. Hedysarum spicatum Mscr. 149,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel30.1,urn:cite:fufolio:CatesbyHS212.052,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_052_0467,urn:cite:botcar:sloane.30,2. Ludwigia alternifolia Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel147.1,urn:cite:fufolio:CatesbyHS212.036,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_036_0475,urn:cite:botcar:sloane.147,2. Lysimachia stellata Mscr. 25,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel182.1,urn:cite:fufolio:CatesbyHS232.048,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_048_0608,urn:cite:botcar:sloane.182,2. Medeola virginiana Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel63.1,urn:cite:fufolio:CatesbyHS212.016,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_016_0494,urn:cite:botcar:sloane.63,2. Philadelphus inodorus Linn. Sp. Pl 470!,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel377.1,urn:cite:fufolio:CatesbyHS232.077,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_077_0582,urn:cite:botcar:sloane.377,2. Polypodium auriculatum Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel179.1,urn:cite:fufolio:CatesbyHS232.042,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_042_0619,urn:cite:botcar:sloane.179,2. Serratula scariosa Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel184.1,urn:cite:fufolio:CatesbyHS212.051,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_051_0468,urn:cite:botcar:sloane.184,2. Sida rhombifolia Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel16.1,urn:cite:fufolio:CatesbyHS212.095,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_095_0409,urn:cite:botcar:sloane.16,2. Smilax pubescens Mscr. 207,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel375.1,urn:cite:fufolio:CatesbyHS232.037,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_037_0618,urn:cite:botcar:sloane.375,2. Teucrium spiciferum Mscr. 114,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel218.1,urn:cite:fufolio:CatesbyHS232.056,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_056_0602,urn:cite:botcar:sloane.218,2. Uniola paniculata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel336.1,urn:cite:fufolio:CatesbyHS232.103,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_103_0552,urn:cite:botcar:sloane.336,2. Uniola paniculata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel270.1,urn:cite:fufolio:CatesbyHS212.029,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_029_0481,urn:cite:botcar:sloane.270,2. Veratrum longifolium Mscr. 209,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel13.1,urn:cite:fufolio:CatesbyHS212.057,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_057_0437,urn:cite:botcar:sloane.13,3 Commelina virginica L.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel23.1,urn:cite:fufolio:CatesbyHS212.033,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_033_0472,urn:cite:botcar:sloane.23,3 Coreopsis stellata Mscr. 175,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel298.1,urn:cite:fufolio:CatesbyHS212.040,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_040_0457,urn:cite:botcar:sloane.298,3 Erigeron jamaicense Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel11.1,urn:cite:fufolio:CatesbyHS212.043,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_043_0464,urn:cite:botcar:sloane.11,3 Juncus globulus Mscr. 68,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel171.1,urn:cite:fufolio:CatesbyHS212.047,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_047_0470,urn:cite:botcar:sloane.171,3 Ludwigia villosa Mscr. 18,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel74.1,urn:cite:fufolio:CatesbyHS212.021,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_021_0485,urn:cite:botcar:sloane.74,3 Polygala cruciata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel43.1,urn:cite:fufolio:CatesbyHS212.022,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_022_0484,urn:cite:botcar:sloane.43,3 Salvia lyrata Linn,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel72.1,urn:cite:fufolio:CatesbyHS212.020,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_020_0490,urn:cite:botcar:sloane.72,3 Sarracenia flava Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel253.1,urn:cite:fufolio:CatesbyHS212.045,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_045_0454,urn:cite:botcar:sloane.253,3 Sarracenia flava Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel414.1,urn:cite:fufolio:CatesbyHS212.032,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_032_0476,urn:cite:botcar:sloane.414,3 Scandix suaveolens Mscr. 62,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel87.1,urn:cite:fufolio:CatesbyHS212.018,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_018_0492,urn:cite:botcar:sloane.87,3. Asclepias nivea Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel266.1,urn:cite:fufolio:CatesbyHS212.030,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_030_0486,urn:cite:botcar:sloane.266,3. Asclepias verticillata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel101.1,urn:cite:fufolio:CatesbyHS212.016,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_016_0494,urn:cite:botcar:sloane.101,3. Borlacea tenera. Mscr. 95,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel185.1,urn:cite:fufolio:CatesbyHS212.009,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_009_0502,urn:cite:botcar:sloane.185,3. Chrysocoma graminifolia Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel118.1,urn:cite:fufolio:CatesbyHS212.060,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_060_0445,urn:cite:botcar:sloane.118,3. Convallaria racemosa Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel281.1,urn:cite:fufolio:CatesbyHS212.034,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_034_0477,urn:cite:botcar:sloane.281,3. Convolvulus hederaceus Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel81.1,urn:cite:fufolio:CatesbyHS212.017,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_017_0495,urn:cite:botcar:sloane.81,3. Dioscorea verticillata Mscr. 207,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel71.1,urn:cite:fufolio:CatesbyHS232.048,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_048_0608,urn:cite:botcar:sloane.71,3. Lobelia Pedicularis Mscr. 188,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
